year,month,day,dust,temp,wind,rain
2018,10,12,21,19.2,22.1,0
2018,10,13,23,22.2,19.9,0
2018,10,14,13,14.6,11.5,12.5
2018,10,15,19,13.8,7.5,10.3
2018,10,16,33,16.9,12.2,0
2018,10,17,26,13.9,6.4,1.3
2018,10,18,22,13,9.8,0
2018,10,19,30,11.3,5.6,0
2018,10,20,45,12.8,7.2,0
2018,10,21,26,14.9,10.3,0
2018,10,22,23,11.2,10.4,0
2018,10,23,26,11.9,17.2,0
2018,10,24,22,14.3,13.8,0
2018,10,25,25,11.1,12,0
2018,10,26,16,10.2,18.4,1.3
2018,10,27,13,5.8,15.9,0
2018,10,28,12,7,13.3,1.5
2018,10,29,15,6.3,10.8,0
2018,10,30,19,7.8,19.7,0
2018,10,31,29,8.6,11.7,0.4
2018,11,1,26,10.7,11.2,6.4
2018,11,2,34,7.3,10.5,0
2018,11,3,27,10,11.6,0
2018,11,4,28,10.5,10.6,0
2018,11,5,52,11.3,11.3,0
2018,11,6,36,13.7,13,0
2018,11,7,19,13,20.7,5.3
2018,11,8,24,10,17.3,0
2018,11,9,23,10.8,16.9,5.5
2018,11,10,21,11.9,12.2,19.1
2018,11,11,17,11.8,14,4
2018,11,12,22,12.2,15.6,1.5
2018,11,13,27,11.7,14.9,0
2018,11,14,27,12.6,12.2,0
2018,11,15,37,12.7,9.2,0
2018,11,16,25,10.2,12.9,0
2018,11,17,32,9.3,19.1,0.2
2018,11,18,23,8.7,16.3,0
2018,11,19,16,7.5,20.5,2.2
2018,11,20,21,4.9,15.3,5.5
2018,11,21,32,4.3,11.3,0.7
2018,11,22,51,3.7,6.2,0
2018,11,23,47,7.2,10.6,0
2018,11,24,33,8.7,15.7,0.1
2018,11,25,27,7.7,14,0
2018,11,26,23,7.2,8.7,0.1
2018,11,27,26,6.8,12.5,4.2
2018,11,28,19,12.9,19,4.6
2018,11,29,21,13,22.5,2
2018,11,30,25,10.2,15.3,0
2018,12,1,19,11.1,15.2,0
2018,12,2,15,14.3,20.6,1.3
2018,12,3,20,12.1,21,0.9
2018,12,4,28,7.2,7.8,1.3
2018,12,5,22,10.7,15.3,5.3
2018,12,6,26,12.9,19.1,0.2
2018,12,7,16,11.4,24.7,6.4
2018,12,8,20,10.3,30.7,0.2
2018,12,9,14,10.2,26.4,1.1
2018,12,10,19,8.5,15.6,0
2018,12,11,35,6.7,7.8,0
2018,12,12,26,6.5,16.5,0
2018,12,13,31,3.6,21.7,0
2018,12,14,43,3.5,8.3,0
2018,12,15,25,3.6,20.7,11.2
2018,12,16,21,8.3,11.8,6.2
2018,12,17,28,8.5,16.2,0
2018,12,18,21,10.5,20.2,4.2
2018,12,19,21,9,14.2,2
2018,12,20,21,9.3,16.5,0
2018,12,21,26,12.2,24.5,9.5
2018,12,22,22,10.6,20.7,0
2018,12,23,15,9.9,12.2,5.1
2018,12,24,29,6.3,5.6,0
2018,12,25,31,4.8,5,0
2018,12,26,24,8.4,5.5,0.2
2018,12,27,48,6,4,0
2018,12,28,38,8.5,9.2,0
2018,12,29,22,10.8,15.5,0
2018,12,30,17,9.8,12.8,0
2018,12,31,NA,10.1,12.9,0
2019,1,1,15,9.3,14.5,13.2
2019,1,2,22,5.8,9.1,0
2019,1,3,26,5.2,6.5,0
2019,1,4,39,3.6,7.2,0
2019,1,5,31,5.5,12.7,0
2019,1,6,29,8.2,10.2,0
2019,1,7,25,10.1,17.9,0
2019,1,8,24,8.2,18.8,0
2019,1,9,22,5,14.8,0.1
2019,1,10,34,4,8.5,0
2019,1,11,25,8,9.7,0
2019,1,12,17,9.5,20.7,0.2
2019,1,13,17,11.3,27.4,0
2019,1,14,19,8.8,19.5,0
2019,1,15,17,7.8,17,0
2019,1,16,11,8.4,19.1,3.7
2019,1,17,15,4.5,17.3,0.9
2019,1,18,26,3.7,11,0
2019,1,19,26,4.1,13.6,0
2019,1,20,33,2.4,6,0
2019,1,21,43,3.1,8.6,0
2019,1,22,18,4.5,13,7.7
2019,1,23,24,1.9,10.5,0
2019,1,24,37,2.7,8,0.4
2019,1,25,29,7.5,13.4,0.9
2019,1,26,15,9.2,20.8,5.7
2019,1,27,12,6.6,28.3,2.9
2019,1,28,23,4,19.1,0
2019,1,29,30,3.7,11.2,6.6
2019,1,30,25,2.9,11.3,0
2019,1,31,29,1.1,17,2.2
2019,2,1,18,2.3,17.8,0.2
2019,2,2,22,3.2,15.3,0
2019,2,3,25,3.4,12.8,0
2019,2,4,18,8.1,17.5,7.3
2019,2,5,21,7.7,10.4,1.8
2019,2,6,23,10.1,11.9,4.4
2019,2,7,20,8.8,28.9,0.2
2019,2,8,15,10.1,27,4.2
2019,2,9,18,9.1,30,0
2019,2,10,11,6.7,19.4,2.9
2019,2,11,24,6.7,10.3,0
2019,2,12,28,8.2,12.3,0
2019,2,13,27,8.9,11.2,0
2019,2,14,46,7,7.5,0
2019,2,15,50,8.3,6.7,0
2019,2,16,40,10.3,9.8,0
2019,2,17,36,9.8,12.3,0
2019,2,18,26,9.2,13.3,1.5
2019,2,19,28,8.1,15.9,0
2019,2,20,26,9.8,15.3,0
2019,2,21,33,11.1,13.9,0
2019,2,22,43,8.7,10,0
2019,2,23,43,9.8,9.6,0
2019,2,24,47,7.8,8.4,0
2019,2,25,53,8.9,8.6,0
2019,2,26,58,9.8,7.9,0
2019,2,27,58,10.8,6.8,0
2019,2,28,32,10.7,15.5,4.8
2019,3,1,33,10,9.8,0
2019,3,2,21,11.2,17,0
2019,3,3,14,11.8,25.4,4.4
2019,3,4,17,7.7,25,4.4
2019,3,5,19,8.5,18.7,0.7
2019,3,6,19,11.7,21,3.5
2019,3,7,10,9.2,30.5,0.9
2019,3,8,15,8.5,19,2.6
